Transaction_ID,Employee_ID,Salary_Band,Monthly_Salary,Work_Mode,Date,Transaction_Type,Category,Amount,Merchant,Payment_Method,Expense_Type,Subscription,Time_of_Day
TXN000027,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-27,Expense,Food Delivery,953.0,Zomato,UPI,Want,No,Afternoon
TXN000028,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000029,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-01,Expense,Rent,12400.0,Housing Society,Net Banking,Need,No,Morning
TXN000030,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-01,Expense,Gym,3000.0,Local Gym Fitness,Credit Card,Want,Yes,Night
TXN000031,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-02,Expense,Coffee & Snacks,349.0,Bakery,Cash,Want,No,Afternoon
TXN000032,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-02,Expense,Groceries,2416.0,Local Kirana Store,Cash,Need,No,Morning
TXN000033,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-03,Investment,SIP Mutual Fund,6900.0,UTI Mutual Fund,Net Banking,N/A,Yes,Morning
TXN000034,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-03,Expense,Dining Out,3722.0,Third Wave Coffee,Credit Card,Want,No,Afternoon
TXN000035,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-04,Expense,Groceries,2421.0,Local Kirana Store,UPI,Need,No,Evening
TXN000036,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-07,Expense,Groceries,571.0,Blinkit,UPI,Need,No,Afternoon
TXN000037,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-08,Expense,Utilities,2234.0,Airtel Broadband,Debit Card,Need,No,Afternoon
TXN000038,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-08,Expense,EMI,10000.0,SBI Credit Card EMI,Net Banking,Need,No,Morning
TXN000039,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-09,Expense,Groceries,2250.0,Zepto,Cash,Need,No,Evening
TXN000040,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-11,Expense,Food Delivery,1328.0,Zomato,UPI,Want,No,Evening
TXN000041,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-14,Expense,Groceries,1845.0,BigBasket,Debit Card,Need,No,Morning
TXN000042,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-15,Expense,Dining Out,1914.0,Dominos Pizza,Debit Card,Want,No,Evening
TXN000043,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-17,Expense,Groceries,2491.0,Blinkit,UPI,Need,No,Afternoon
TXN000044,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-17,Expense,Groceries,1233.0,BigBasket,UPI,Need,No,Evening
TXN000045,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-17,Expense,Food Delivery,982.0,Zomato,Credit Card,Want,No,Afternoon
TXN000046,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-18,Expense,Shopping,6043.0,Flipkart,Credit Card,Want,No,Evening
TXN000047,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-20,Expense,Groceries,1815.0,Blinkit,Debit Card,Need,No,Evening
TXN000048,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-20,Expense,Coffee & Snacks,93.0,Local Tea Stall,Cash,Want,No,Evening
TXN000049,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-21,Expense,OTT Subscription,649.0,Netflix,Credit Card,Want,Yes,Night
TXN000050,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-21,Expense,Food Delivery,196.0,Swiggy,UPI,Want,No,Afternoon
TXN000051,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-22,Expense,Commute,417.0,Ola,Cash,Need,No,Morning
TXN000052,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-22,Expense,Commute,716.0,Shell Petrol,UPI,Need,No,Morning
TXN000053,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-23,Expense,Food Delivery,1119.0,Zomato,Credit Card,Want,No,Afternoon
TXN000054,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-24,Expense,Groceries,2467.0,Local Kirana Store,Cash,Need,No,Afternoon
TXN000055,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-26,Expense,Food Delivery,1154.0,Zomato,Credit Card,Want,No,Afternoon
TXN000056,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-02-28,Expense,Commute,496.0,Uber,Cash,Need,No,Morning
TXN000057,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000058,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-01,Investment,SIP Mutual Fund,3100.0,Zerodha Coin,Net Banking,N/A,Yes,Morning
TXN000059,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-01,Expense,Dining Out,882.0,Dominos Pizza,UPI,Want,No,Evening
TXN000060,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-01,Expense,Groceries,1144.0,Local Kirana Store,Debit Card,Need,No,Morning
TXN000061,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-02,Expense,Rent,14100.0,Property Management,Net Banking,Need,No,Morning
TXN000062,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-02,Expense,Food Delivery,738.0,Swiggy,UPI,Want,No,Afternoon
TXN000063,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-03,Expense,Commute,453.0,Auto Fare,UPI,Need,No,Evening
TXN000064,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-04,Expense,Commute,726.0,Uber,UPI,Need,No,Evening
TXN000065,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-04,Expense,Groceries,1254.0,Reliance Fresh,Cash,Need,No,Morning
TXN000066,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-05,Expense,EMI,6100.0,SBI Credit Card EMI,Net Banking,Need,No,Morning
TXN000067,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-05,Expense,Groceries,832.0,Blinkit,UPI,Need,No,Afternoon
TXN000068,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-06,Expense,Gym,3000.0,Local Gym Fitness,Credit Card,Want,Yes,Night
TXN000069,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-09,Expense,Utilities,3120.0,Indane Gas,Debit Card,Need,No,Afternoon
TXN000070,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-10,Expense,Medical,1878.0,Diagnostics Lab,Debit Card,Need,No,Morning
TXN000071,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-12,Expense,Commute,474.0,Namma Metro,Debit Card,Need,No,Evening
TXN000072,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-12,Expense,Commute,60.0,Namma Metro,Cash,Need,No,Morning
TXN000073,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-12,Expense,Coffee & Snacks,174.0,Starbucks,UPI,Want,No,Evening
TXN000074,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-13,Expense,Groceries,1992.0,Reliance Fresh,UPI,Need,No,Evening
TXN000075,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-15,Expense,Dining Out,458.0,Local Restaurant,UPI,Want,No,Evening
TXN000076,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-16,Expense,OTT Subscription,999.0,Youtube Premium,UPI,Want,Yes,Night
TXN000077,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-18,Expense,Groceries,1135.0,Reliance Fresh,Cash,Need,No,Morning
TXN000078,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-19,Expense,Commute,716.0,Namma Metro,Cash,Need,No,Evening
TXN000079,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-20,Expense,Groceries,1790.0,DMart,UPI,Need,No,Afternoon
TXN000080,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-20,Expense,Dining Out,2358.0,McDonalds,Debit Card,Want,No,Evening
TXN000081,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-22,Expense,Commute,407.0,HP Petrol Pump,UPI,Need,No,Morning
TXN000082,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-23,Expense,Dining Out,1380.0,Local Restaurant,Debit Card,Want,No,Afternoon
TXN000083,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-23,Expense,Commute,306.0,Ola,Debit Card,Need,No,Evening
TXN000084,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-25,Expense,Food Delivery,785.0,Zomato,UPI,Want,No,Night
TXN000085,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-27,Expense,Commute,718.0,Namma Metro,UPI,Need,No,Morning
TXN000086,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-03-28,Expense,Food Delivery,315.0,Swiggy,Credit Card,Want,No,Evening
TXN000087,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000088,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-01,Expense,Rent,10900.0,Property Management,Net Banking,Need,No,Morning
TXN000089,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-03,Expense,EMI,10600.0,SBI Credit Card EMI,Net Banking,Need,No,Morning
TXN000090,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-03,Expense,Gym,2000.0,Local Gym Fitness,UPI,Want,Yes,Night
TXN000091,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-04,Investment,SIP Mutual Fund,3800.0,Groww SIP,Net Banking,N/A,Yes,Morning
TXN000092,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-06,Expense,Coffee & Snacks,333.0,Local Tea Stall,UPI,Want,No,Afternoon
TXN000093,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-08,Expense,Dining Out,655.0,Starbucks,UPI,Want,No,Evening
TXN000094,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-09,Expense,Coffee & Snacks,125.0,Starbucks,Cash,Want,No,Afternoon
TXN000095,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-10,Expense,Utilities,3133.0,Municipal Water,Debit Card,Need,No,Afternoon
TXN000096,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-11,Expense,Food Delivery,651.0,Zomato,UPI,Want,No,Night
TXN000097,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-12,Expense,Coffee & Snacks,247.0,Starbucks,Cash,Want,No,Afternoon
TXN000098,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-18,Expense,Commute,446.0,Shell Petrol,Cash,Need,No,Morning
TXN000099,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-19,Expense,Commute,657.0,Namma Metro,UPI,Need,No,Evening
TXN000100,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-19,Expense,Shopping,4716.0,Flipkart,Net Banking,Want,No,Afternoon
TXN000101,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-21,Expense,Groceries,1124.0,DMart,Cash,Need,No,Evening
TXN000102,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-23,Expense,OTT Subscription,999.0,Netflix,Credit Card,Want,Yes,Night
TXN000103,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-23,Expense,Groceries,1703.0,BigBasket,UPI,Need,No,Morning
TXN000104,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-23,Expense,Food Delivery,767.0,Swiggy,UPI,Want,No,Evening
TXN000105,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-24,Expense,Commute,379.0,Namma Metro,Debit Card,Need,No,Morning
TXN000106,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-25,Expense,Food Delivery,507.0,Zomato,Credit Card,Want,No,Evening
TXN000107,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-26,Expense,Shopping,3677.0,Myntra,Net Banking,Want,No,Night
TXN000108,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-04-28,Expense,Groceries,456.0,Reliance Fresh,Cash,Need,No,Morning
TXN000109,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000110,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-04,Expense,EMI,12100.0,HDFC Bank Loan,Net Banking,Need,No,Morning
TXN000111,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-05,Expense,Rent,15300.0,Property Management,Net Banking,Need,No,Morning
TXN000112,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-05,Expense,Food Delivery,789.0,Zomato,Credit Card,Want,No,Afternoon
TXN000113,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-07,Expense,Shopping,6616.0,Amazon,Net Banking,Want,No,Night
TXN000114,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-08,Expense,Dining Out,1210.0,Third Wave Coffee,UPI,Want,No,Night
TXN000115,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-10,Expense,Utilities,3978.0,Jio Fiber,Net Banking,Need,No,Afternoon
TXN000116,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-10,Investment,SIP Mutual Fund,5900.0,Zerodha Coin,Net Banking,N/A,Yes,Morning
TXN000117,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-10,Expense,Coffee & Snacks,110.0,Local Tea Stall,Cash,Want,No,Morning
TXN000118,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-10,Expense,Coffee & Snacks,106.0,Starbucks,Cash,Want,No,Afternoon
TXN000119,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-11,Expense,Commute,576.0,Auto Fare,UPI,Need,No,Morning
TXN000120,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-12,Expense,Gym,3000.0,Cult.fit,UPI,Want,Yes,Night
TXN000121,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-12,Expense,Commute,217.0,Auto Fare,Cash,Need,No,Morning
TXN000122,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-13,Expense,Food Delivery,182.0,Swiggy,Credit Card,Want,No,Evening
TXN000123,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-14,Expense,Groceries,2435.0,Reliance Fresh,Cash,Need,No,Morning
TXN000124,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-15,Expense,Groceries,721.0,Local Kirana Store,Cash,Need,No,Morning
TXN000125,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-17,Expense,OTT Subscription,499.0,Disney+ Hotstar,UPI,Want,Yes,Night
TXN000126,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-17,Expense,Coffee & Snacks,184.0,Third Wave Coffee,Cash,Want,No,Afternoon
TXN000127,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-20,Expense,Food Delivery,208.0,Zomato,Credit Card,Want,No,Night
TXN000128,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-21,Expense,Commute,84.0,Auto Fare,UPI,Need,No,Evening
TXN000129,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-22,Expense,Food Delivery,1091.0,Swiggy,Credit Card,Want,No,Night
TXN000130,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-24,Expense,Commute,120.0,Namma Metro,UPI,Need,No,Evening
TXN000131,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-24,Expense,Commute,559.0,Shell Petrol,Debit Card,Need,No,Morning
TXN000132,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-25,Expense,Groceries,1645.0,Blinkit,UPI,Need,No,Afternoon
TXN000133,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-26,Expense,Dining Out,3163.0,Barbeque Nation,Credit Card,Want,No,Night
TXN000134,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-27,Expense,Food Delivery,666.0,Zomato,Credit Card,Want,No,Afternoon
TXN000135,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-05-27,Expense,Food Delivery,582.0,Swiggy,Credit Card,Want,No,Afternoon
TXN000136,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000137,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-01,Expense,Coffee & Snacks,357.0,Chai Point,UPI,Want,No,Evening
TXN000138,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-01,Expense,Medical,2965.0,MedPlus,UPI,Need,No,Evening
TXN000139,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-02,Expense,Rent,10700.0,Landlord Corp,Net Banking,Need,No,Morning
TXN000140,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-02,Expense,Gym,2000.0,Local Gym Fitness,Credit Card,Want,Yes,Night
TXN000141,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-03,Expense,Shopping,5505.0,Flipkart,UPI,Want,No,Evening
TXN000142,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-04,Expense,OTT Subscription,499.0,Spotify,Credit Card,Want,Yes,Night
TXN000143,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-05,Expense,Utilities,4332.0,Airtel Broadband,UPI,Need,No,Afternoon
TXN000144,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-06,Expense,Food Delivery,1126.0,Zomato,UPI,Want,No,Evening
TXN000145,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-07,Expense,EMI,12500.0,HDFC Bank Loan,Net Banking,Need,No,Morning
TXN000146,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-07,Expense,Medical,2400.0,Local Hospital,UPI,Need,No,Afternoon
TXN000147,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-08,Expense,Dining Out,3442.0,Starbucks,UPI,Want,No,Night
TXN000148,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-08,Expense,Commute,104.0,Namma Metro,Debit Card,Need,No,Morning
TXN000149,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-09,Expense,Food Delivery,679.0,Zomato,UPI,Want,No,Evening
TXN000150,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-10,Investment,SIP Mutual Fund,5200.0,UTI Mutual Fund,Net Banking,N/A,Yes,Morning
TXN000151,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-11,Expense,Commute,733.0,HP Petrol Pump,UPI,Need,No,Evening
TXN000152,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-12,Expense,Coffee & Snacks,172.0,Bakery,UPI,Want,No,Morning
TXN000153,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-14,Expense,Groceries,638.0,Local Kirana Store,UPI,Need,No,Evening
TXN000154,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-17,Expense,Dining Out,1379.0,Third Wave Coffee,Debit Card,Want,No,Evening
TXN000155,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-17,Expense,Dining Out,2190.0,Dominos Pizza,Credit Card,Want,No,Night
TXN000156,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-17,Expense,Commute,700.0,Namma Metro,Cash,Need,No,Morning
TXN000157,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-06-18,Expense,Shopping,864.0,Zara,Credit Card,Want,No,Night
TXN000158,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000159,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-01,Expense,Rent,14800.0,Landlord Corp,Net Banking,Need,No,Morning
TXN000160,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-02,Expense,Groceries,335.0,Blinkit,Debit Card,Need,No,Evening
TXN000161,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-02,Expense,Commute,94.0,Ola,UPI,Need,No,Morning
TXN000162,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-02,Expense,Food Delivery,1438.0,Zomato,Credit Card,Want,No,Afternoon
TXN000163,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-04,Expense,EMI,7700.0,SBI Credit Card EMI,Net Banking,Need,No,Morning
TXN000164,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-05,Expense,Groceries,2470.0,DMart,Cash,Need,No,Afternoon
TXN000165,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-06,Expense,Food Delivery,330.0,Zomato,UPI,Want,No,Evening
TXN000166,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-06,Expense,Dining Out,2265.0,Socials Cafe,UPI,Want,No,Evening
TXN000167,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-07,Expense,Utilities,4346.0,State Electricity Board,UPI,Need,No,Afternoon
TXN000168,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-07,Expense,Gym,1500.0,Cult.fit,UPI,Want,Yes,Night
TXN000169,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-09,Expense,Groceries,2336.0,BigBasket,Debit Card,Need,No,Evening
TXN000170,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-09,Expense,Medical,2188.0,Diagnostics Lab,Debit Card,Need,No,Morning
TXN000171,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-10,Expense,Groceries,508.0,Zepto,UPI,Need,No,Morning
TXN000172,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-10,Expense,Commute,378.0,Ola,Debit Card,Need,No,Evening
TXN000173,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-10,Expense,Shopping,4082.0,Zara,Credit Card,Want,No,Evening
TXN000174,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-10,Expense,Commute,163.0,HP Petrol Pump,UPI,Need,No,Evening
TXN000175,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-13,Expense,Commute,694.0,Ola,UPI,Need,No,Evening
TXN000176,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-14,Expense,Groceries,480.0,DMart,Debit Card,Need,No,Afternoon
TXN000177,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-16,Expense,OTT Subscription,999.0,Youtube Premium,UPI,Want,Yes,Night
TXN000178,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-16,Expense,Shopping,5874.0,Decathlon,Credit Card,Want,No,Evening
TXN000179,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-17,Expense,Dining Out,652.0,McDonalds,Debit Card,Want,No,Afternoon
TXN000180,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-22,Expense,Shopping,2449.0,Zara,Net Banking,Want,No,Night
TXN000181,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-26,Expense,Coffee & Snacks,197.0,Third Wave Coffee,UPI,Want,No,Afternoon
TXN000182,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-07-28,Expense,Coffee & Snacks,189.0,Tapri,Cash,Want,No,Evening
